,id,gender,age,hypertension,heart_disease,ever_married,work_type,Residence_type,avg_glucose_level,bmi,smoking_status,stroke
count,5097.0,5097,5097.0,5097.0,5097.0,5097,5097,5097,5097.0,5097.0,5097,5097.0
unique,,3,,,,2,5,2,,,4,
top,,Female,,,,Yes,Private,Urban,,,never smoked,
freq,,2985,,,,3342,2913,2591,,,1887,
mean,36500.51167353345,,43.2291544045517,0.09672356288012557,0.05414949970570924,,,,106.15989209338827,28.78202864430057,,0.04885226603884638
std,21142.35984876795,,22.629979055485315,0.29560997904928726,0.22633466787938317,,,,45.28481079245846,7.40486223094697,,0.21558024078996552
min,67.0,,0.08,0.0,0.0,,,,55.12,10.3,,0.0
25%,17740.0,,25.0,0.0,0.0,,,,77.28,23.8,,0.0
50%,36901.0,,45.0,0.0,0.0,,,,91.89,28.4,,0.0
75%,54590.0,,61.0,0.0,0.0,,,,114.09,32.8,,0.0
max,72940.0,,82.0,1.0,1.0,,,,271.74,59.7,,1.0
